lastname,purchase_date,stars,price,favorite_flower
PERKINS,2017-04-08,5,19.599885954165785,iris
ROBINSON,2017-01-01,5,37.98390361682093,
WILLIAMSON,2017-03-20,4,19.339137911467354,carnation
ROBINSON,2017-04-12,5,18.140615754070392,lilac
RHODES,2017-03-24,1,22.179522083926244,carnation
NGUYEN,2017-01-03,3,9.713732775024482,gerbera
ROBINSON,2017-08-20,2,18.90743325165465,
GRAVES,2017-02-26,5,9.912851749826816,gerbera
RODRIQUEZ,2017-01-11,1,20.663897316192106,
PERKINS,2017-07-09,5,40.361152734388476,iris
FERGUSON,2017-05-04,2,21.018300051245614,daffodil
MAY,2017-06-22,3,9.767947319089958,rose
MILLER,2017-07-25,3,20.09000453868923,
GREENE,2017-07-27,4,9.321970912000113,rose
OBRIEN,2017-02-16,4,40.626161767880845,
FREEMAN,2017-02-09,4,10.010868827679804,gerbera
RAMOS,2017-09-04,4,21.651084825013534,
ROBINSON,2017-05-09,3,9.221863291317748,lilac
ROBINSON,2017-06-14,2,10.547645329062824,lilac
RUIZ,2017-07-29,4,20.45178856993353,
CLARK,2017-01-05,3,,
HARPER,2017-08-24,2,10.525911853492463,tulip
PAYNE,2017-01-21,1,19.77178904468374,rose
BOYD,2017-07-02,4,40.14728952584128,lilac
ROBINSON,2017-03-05,5,18.974158454725085,lilac
COX,2017-04-03,3,9.272833477585095,
HALL,2017-04-23,3,22.706567033577024,daffodil
RHODES,2017-08-22,4,10.151628870901336,
REYES,2017-01-18,4,20.54553211658084,rose
ROBINSON,2017-04-02,4,20.667826506358047,
LEWIS,2017-07-28,5,40.13198438479372,gerbera
GREENE,2017-03-10,1,19.55589961642972,rose
TURNER,2017-06-29,5,39.43408162407313,iris
TURNER,2017-02-26,3,39.39570667359536,iris
VARGAS,2017-03-06,4,19.56203977003917,sunflower
PETERS,2017-05-03,4,20.3247234005108,orchid
FERGUSON,2017-06-21,5,9.848442903013568,daffodil
ROGERS,2017-01-30,3,40.36844909592911,
ELLIS,2017-05-15,5,18.773684018031272,daisy
COLLINS,2017-07-20,4,19.152947057097187,
DANIELS,2017-06-21,5,9.957252361084425,rose
PETERS,2017-02-01,4,,orchid
ROBINSON,2017-08-11,5,10.106924174878474,lilac
MITCHELL,2017-05-29,5,21.054419463146786,lilac
ALLEN,2017-02-11,5,40.28623232783156,rose
CARLSON,2017-05-11,3,21.913345453148214,rose
REID,2017-03-25,3,11.346947792036715,jasmine
ROBINSON,2017-06-07,5,18.187913343092607,lilac
MARTIN,2017-06-23,3,38.97178490612093,lilac
FOSTER,2017-03-24,2,38.96400336060229,
MASON,2017-06-22,3,17.81234717565077,tulip
CALDWELL,2017-02-01,5,10.698038212223212,carnation
AUSTIN,2017-03-17,2,19.657933559091166,jasmine
VARGAS,2017-05-22,5,21.367687255211738,sunflower
GREEN,2017-02-13,5,,daffodil
BYRD,2017-06-30,5,41.566585818743725,gardenia
RIVERA,2017-06-30,3,19.475134709216427,daffodil
ROSE,2017-05-04,1,19.953792960230306,gardenia
WOODS,2017-07-12,3,20.300919385649898,sunflower
WAGNER,2017-07-17,4,19.05813230832499,iris
GONZALES,2017-05-09,2,38.550615869457395,lilac
DANIELS,2017-02-07,5,10.392627704199207,
GOMEZ,2017-01-02,4,19.296580605198766,
BARNETT,2017-08-27,4,,gardenia
MONTGOMERY,2017-01-22,5,8.900795479674256,gardenia
ROBINSON,2017-06-20,3,39.98301160420699,lilac
HOLMES,2017-04-05,3,11.137140906561116,rose
THOMPSON,2017-05-07,1,9.780662511574203,tulip
CASTILLO,2017-02-26,4,9.429211255136568,gardenia
DANIELS,2017-07-31,5,38.16063278312035,rose
ROBINSON,2017-02-06,5,20.66425770975789,
CALDWELL,2017-04-21,5,40.81756940071396,carnation
MOORE,2017-05-20,5,19.565067295442024,rose
ROBINSON,2017-08-08,5,19.78370082239843,lilac
RUSSELL,2017-07-26,5,10.599312153256943,carnation
STEWART,2017-08-13,2,19.81922256797939,tulip
KING,2017-08-20,2,20.240239567057603,
BROWN,2017-02-12,4,17.685223969794034,daffodil
WHEELER,2017-02-18,4,39.0900053263572,orchid
ROBINSON,2017-01-28,5,39.030628694377654,lilac
STEWART,2017-02-18,3,10.711600171359402,tulip
HILL,2017-02-13,4,9.517952448737823,
HOFFMAN,2017-01-30,2,19.669988315777033,sunflower
BELL,2017-01-11,2,39.62059784772226,
JACOBS,2017-02-11,3,20.447331988083103,carnation
MURRAY,2017-08-29,3,20.483871667987792,daffodil
GRAVES,2017-01-07,4,20.680632877909176,gerbera
ROBINSON,2017-01-24,5,20.783138135804545,lilac
FERGUSON,2017-02-25,2,18.180406884389306,daffodil
JACKSON,2017-04-04,2,18.708487234858215,
CARROLL,2017-02-11,5,8.968955605473209,tulip
BURKE,2017-08-16,1,39.78046538927822,daffodil
DIAZ,2017-03-27,2,10.112087994799793,
FERGUSON,2017-02-21,4,20.245430690242802,daffodil
DANIELS,2017-04-28,1,19.433847061784466,rose
CHAPMAN,2017-01-26,4,21.94854510220763,gerbera
CALDWELL,2017-05-17,3,11.530575746506965,carnation
ROBINSON,2017-08-31,1,19.740721609088027,lilac
MORGAN,2017-08-20,3,10.609334750394755,tulip
ROBINSON,2017-05-26,5,40.575438922550475,lilac
WEBB,2017-07-13,2,8.004355730089456,iris
BURKE,2017-08-16,4,18.560260365877358,daffodil
HAMILTON,2017-07-14,3,40.617970357166705,lilac
HARPER,2017-04-10,2,21.80685871991968,tulip
WELCH,2017-01-11,3,20.832149115209614,
WAGNER,2017-01-16,3,20.369090538431443,iris
BURKE,2017-04-22,5,18.81915130532943,
ROBINSON,2017-08-01,5,40.98228579406936,lilac
ALLEN,2017-07-17,2,19.829455239483146,rose
RYAN,2017-09-01,3,20.553662198718552,carnation
CARPENTER,2017-04-11,2,9.822113765492556,sunflower
CLARK,2017-05-04,4,10.958270141342146,
ROBINSON,2017-01-04,5,19.320615288241104,lilac
ROBINSON,2017-07-30,1,12.129372227529846,
LEWIS,2017-06-09,4,38.43293342156386,gerbera
GREEN,2017-01-13,3,10.201632012802088,daffodil
MCKINNEY,2017-01-28,3,20.242743614707088,gardenia
ROBINSON,2017-01-27,5,8.222220629574593,lilac
RICHARDS,2017-07-14,3,9.553872150135119,lilac
HARPER,2017-08-21,5,21.037598973359675,tulip
RAMOS,2017-05-26,3,17.6554341093315,orchid
ROBINSON,2017-04-12,5,9.302764983103009,lilac
NEAL,2017-05-30,5,20.951594519324036,iris
MEDINA,2017-01-31,5,21.11362145441848,daffodil
WILLIS,2017-06-25,1,22.343949267748798,tulip
ROBINSON,2017-03-15,5,11.349250233547508,
MURRAY,2017-02-18,5,21.74310058470698,
WATTS,2017-08-31,5,21.37626984738797,gardenia
WATTS,2017-08-24,2,39.62882165037336,
HART,2017-04-08,4,20.937876879939264,gardenia
HICKS,2017-04-13,4,18.19812547625326,daisy
CHAPMAN,2017-07-02,5,9.723798996287336,gerbera
STONE,2017-03-12,4,39.122986373405546,iris
ROBINSON,2017-03-09,4,11.609311591921207,
JAMES,2017-06-01,2,19.517681086449205,daisy
POWELL,2017-01-22,3,39.903788141337344,
RICHARDS,2017-02-19,3,39.487050456498025,lilac
STONE,2017-07-22,4,41.9382701757059,iris
