purchase_id,lastname,purchase_date,stars,price,favorite_flower
1000,PERKINS,2017-04-08,5,19.6,iris
1001,ROBINSON,2017-01-01,5,37.98,
1002,WILLIAMSON,2017-03-20,4,19.34,carnation
1003,ROBINSON,2017-04-12,5,18.14,lilac
1004,RHODES,2017-03-24,1,22.18,carnation
1005,NGUYEN,2017-01-03,3,9.71,gerbera
1006,ROBINSON,2017-08-20,2,18.91,
1007,GRAVES,2017-02-26,5,9.91,gerbera
1008,RODRIQUEZ,2017-01-11,1,20.66,
1009,PERKINS,2017-07-09,5,40.36,iris
1010,FERGUSON,2017-05-04,2,21.02,daffodil
1011,MAY,2017-06-22,3,9.77,rose
1012,MILLER,2017-07-25,3,20.09,
1013,GREENE,2017-07-27,4,9.32,rose
1014,OBRIEN,2017-02-16,4,40.63,
1015,FREEMAN,2017-02-09,4,10.01,gerbera
1016,RAMOS,2017-09-04,4,21.65,
1017,ROBINSON,2017-05-09,3,9.22,lilac
1018,ROBINSON,2017-06-14,2,10.55,lilac
1019,RUIZ,2017-07-29,4,20.45,
1020,CLARK,2017-01-05,3,,
1021,HARPER,2017-08-24,2,10.53,tulip
1022,PAYNE,2017-01-21,1,19.77,rose
1023,BOYD,2017-07-02,4,40.15,lilac
1024,ROBINSON,2017-03-05,5,18.97,lilac
1025,COX,2017-04-03,3,9.27,
1026,HALL,2017-04-23,3,22.71,daffodil
1027,RHODES,2017-08-22,4,10.15,
1028,REYES,2017-01-18,4,20.55,rose
1029,ROBINSON,2017-04-02,4,20.67,
1030,LEWIS,2017-07-28,5,40.13,gerbera
1031,GREENE,2017-03-10,1,19.56,rose
1032,TURNER,2017-06-29,5,39.43,iris
1033,TURNER,2017-02-26,3,39.4,iris
1034,VARGAS,2017-03-06,4,19.56,sunflower
1035,PETERS,2017-05-03,4,20.32,orchid
1036,FERGUSON,2017-06-21,5,9.85,daffodil
1037,ROGERS,2017-01-30,3,40.37,
1038,ELLIS,2017-05-15,5,18.77,daisy
1039,COLLINS,2017-07-20,4,19.15,
1040,DANIELS,2017-06-21,5,9.96,rose
1041,PETERS,2017-02-01,4,,orchid
1042,ROBINSON,2017-08-11,5,10.11,lilac
1043,MITCHELL,2017-05-29,5,21.05,lilac
1044,ALLEN,2017-02-11,5,40.29,rose
1045,CARLSON,2017-05-11,3,21.91,rose
1046,REID,2017-03-25,3,11.35,jasmine
1047,ROBINSON,2017-06-07,5,18.19,lilac
1048,MARTIN,2017-06-23,3,38.97,lilac
1049,FOSTER,2017-03-24,2,38.96,
1050,MASON,2017-06-22,3,17.81,tulip
1051,CALDWELL,2017-02-01,5,10.7,carnation
1052,AUSTIN,2017-03-17,2,19.66,jasmine
1053,VARGAS,2017-05-22,5,21.37,sunflower
1054,GREEN,2017-02-13,5,,daffodil
1055,BYRD,2017-06-30,5,41.57,gardenia
1056,RIVERA,2017-06-30,3,19.48,daffodil
1057,ROSE,2017-05-04,1,19.95,gardenia
1058,WOODS,2017-07-12,3,20.3,sunflower
1059,WAGNER,2017-07-17,4,19.06,iris
1060,GONZALES,2017-05-09,2,38.55,lilac
1061,DANIELS,2017-02-07,5,10.39,
1062,GOMEZ,2017-01-02,4,19.3,
1063,BARNETT,2017-08-27,4,,gardenia
1064,MONTGOMERY,2017-01-22,5,8.9,gardenia
1065,ROBINSON,2017-06-20,3,39.98,lilac
1066,HOLMES,2017-04-05,3,11.14,rose
1067,THOMPSON,2017-05-07,1,9.78,tulip
1068,CASTILLO,2017-02-26,4,9.43,gardenia
1069,DANIELS,2017-07-31,5,38.16,rose
1070,ROBINSON,2017-02-06,5,20.66,
1071,CALDWELL,2017-04-21,5,40.82,carnation
1072,MOORE,2017-05-20,5,19.57,rose
1073,ROBINSON,2017-08-08,5,19.78,lilac
1074,RUSSELL,2017-07-26,5,10.6,carnation
1075,STEWART,2017-08-13,2,19.82,tulip
1076,KING,2017-08-20,2,20.24,
1077,BROWN,2017-02-12,4,17.69,daffodil
1078,WHEELER,2017-02-18,4,39.09,orchid
1079,ROBINSON,2017-01-28,5,39.03,lilac
1080,STEWART,2017-02-18,3,10.71,tulip
1081,HILL,2017-02-13,4,9.52,
1082,HOFFMAN,2017-01-30,2,19.67,sunflower
1083,BELL,2017-01-11,2,39.62,
1084,JACOBS,2017-02-11,3,20.45,carnation
1085,MURRAY,2017-08-29,3,20.48,daffodil
1086,GRAVES,2017-01-07,4,20.68,gerbera
1087,ROBINSON,2017-01-24,5,20.78,lilac
1088,FERGUSON,2017-02-25,2,18.18,daffodil
1089,JACKSON,2017-04-04,2,18.71,
1090,CARROLL,2017-02-11,5,8.97,tulip
1091,BURKE,2017-08-16,1,39.78,daffodil
1092,DIAZ,2017-03-27,2,10.11,
1093,FERGUSON,2017-02-21,4,20.25,daffodil
1094,DANIELS,2017-04-28,1,19.43,rose
1095,CHAPMAN,2017-01-26,4,21.95,gerbera
1096,CALDWELL,2017-05-17,3,11.53,carnation
1097,ROBINSON,2017-08-31,1,19.74,lilac
1098,MORGAN,2017-08-20,3,10.61,tulip
1099,ROBINSON,2017-05-26,5,40.58,lilac
1101,WEBB,2017-07-13,2,8.0,iris
1101,BURKE,2017-08-16,4,18.56,daffodil
1102,HAMILTON,2017-07-14,3,40.62,lilac
1103,HARPER,2017-04-10,2,21.81,tulip
1104,WELCH,2017-01-11,3,20.83,
1105,WAGNER,2017-01-16,3,20.37,iris
1106,BURKE,2017-04-22,5,18.82,
1107,ROBINSON,2017-08-01,5,40.98,lilac
1108,ALLEN,2017-07-17,2,19.83,rose
1109,RYAN,2017-09-01,3,20.55,carnation
1110,CARPENTER,2017-04-11,2,9.82,sunflower
1111,CLARK,2017-05-04,4,10.96,
1112,ROBINSON,2017-01-04,5,19.32,lilac
1113,ROBINSON,2017-07-30,1,12.13,
1114,LEWIS,2017-06-09,4,38.43,gerbera
1115,GREEN,2017-01-13,3,10.2,daffodil
1116,MCKINNEY,2017-01-28,3,20.24,gardenia
1117,ROBINSON,2017-01-27,5,8.22,lilac
1118,RICHARDS,2017-07-14,3,9.55,lilac
1119,HARPER,2017-08-21,5,21.04,tulip
1120,RAMOS,2017-05-26,3,17.66,orchid
1121,ROBINSON,2017-04-12,5,9.3,lilac
1122,NEAL,2017-05-30,5,20.95,iris
1123,MEDINA,2017-01-31,5,21.11,daffodil
1124,WILLIS,2017-06-25,1,22.34,tulip
1125,ROBINSON,2017-03-15,5,11.35,
1126,MURRAY,2017-02-18,5,21.74,
1127,WATTS,2017-08-31,5,21.38,gardenia
1128,WATTS,2017-08-24,2,39.63,
1129,HART,2017-04-08,4,20.94,gardenia
1130,HICKS,2017-04-13,4,18.2,daisy
1131,CHAPMAN,2017-07-02,5,9.72,gerbera
1132,STONE,2017-03-12,4,39.12,iris
1133,ROBINSON,2017-03-09,4,11.61,
1134,JAMES,2017-06-01,2,19.52,daisy
1135,POWELL,2017-01-22,3,39.9,
1136,RICHARDS,2017-02-19,3,39.49,lilac
1137,STONE,2017-07-22,4,41.94,iris
1138,GONZALEZ,2017-08-14,2,39.97,gardenia
1139,MILLS,2017-05-24,5,9.98,rose
1140,MORRISON,2017-01-02,4,12.03,gardenia
1141,ROGERS,2017-03-11,2,10.19,gardenia
1142,MURPHY,2017-03-18,5,9.81,iris
1143,ROBINSON,2017-05-29,1,40.3,lilac
1144,RHODES,2017-01-07,5,40.11,
1145,CARROLL,2017-07-29,3,,tulip
1146,KELLY,2017-06-04,4,9.47,daisy
1147,SNYDER,2017-08-04,5,18.88,sunflower
1148,REYNOLDS,2017-04-25,3,41.48,gardenia
1149,MASON,2017-07-02,5,19.92,tulip
1150,ROBINSON,2017-01-03,5,38.82,lilac
1151,ORTIZ,2017-04-21,5,20.09,carnation
1152,ROBINSON,2017-05-25,4,20.13,lilac
1153,JORDAN,2017-01-06,4,9.32,carnation
1154,PENA,2017-06-28,3,38.97,lilac
1155,BURKE,2017-08-28,3,20.38,daffodil
1156,EVANS,2017-03-24,5,21.01,daisy
1157,RICE,2017-01-07,3,19.29,gerbera
1158,BATES,2017-01-02,5,40.28,
1159,HOPKINS,2017-08-31,2,11.04,tulip
1160,PETERS,2017-05-21,5,20.38,orchid
1161,PERKINS,2017-05-19,4,9.85,iris
1162,BROWN,2017-05-22,3,8.21,daffodil
1163,REED,2017-04-22,4,18.84,gerbera
1164,MILES,2017-03-17,5,10.59,daisy
1165,CARTER,2017-07-03,5,41.75,
1166,ROBINSON,2017-08-15,3,38.49,lilac
1167,RODRIQUEZ,2017-08-20,3,19.09,carnation
1168,BENNETT,2017-07-22,5,20.29,rose
1169,RIVERA,2017-08-20,5,41.03,daffodil
1170,ROSE,2017-08-06,3,18.86,gardenia
1171,CALDWELL,2017-01-10,5,20.66,carnation
1172,SILVA,2017-02-04,1,18.7,lilac
1173,PENA,2017-08-17,5,39.69,lilac
1174,RAMIREZ,2017-07-12,3,20.28,lilac
1175,PALMER,2017-02-02,5,40.66,gardenia
1176,MURRAY,2017-06-15,5,11.09,daffodil
1177,ROBINSON,2017-05-28,5,19.39,lilac
1178,LAWRENCE,2017-06-15,2,41.2,daffodil
1179,THOMPSON,2017-05-07,5,39.68,
1180,BREWER,2017-04-22,4,19.78,carnation
1181,CARLSON,2017-02-06,5,43.0,rose
1182,BANKS,2017-06-28,1,40.86,orchid
1183,MCDONALD,2017-01-10,4,22.29,tulip
1184,MORGAN,2017-04-15,5,10.69,tulip
1185,ROBINSON,2017-03-31,4,39.76,lilac
1186,LEE,2017-07-25,5,,daffodil
1187,ROBINSON,2017-02-15,5,39.14,lilac
1188,HALE,2017-05-19,1,19.99,rose
